Pedido;Lote;Romaneio;Cliente;Canal;Sub Canal;Vendedor;Desc;Desc Fin;Tx Fin;T.C.;C.P.;Dias;VC 1a;VC 2a;VC 3a;VC 4a;VC 5a;Dt.Ven 1a;Banco;Trans;Placa;Mot;Ajud1;Ajud2;Canc;Dt.Acerto;Flag Romaneio;Mot Dev;Mot Bloq;Dt.Pedido;Pasta;||Item;Fam;Prd;Cod Red;Tabela;Desc;Vlr Total;Vlr Retorno;Vlr Unitario;ICMR;Desp.Acess;Desc.Verba;Tx.Finan;Quant CX;Quant UN;Retorno CX;Retorno UN;Desc.Max;Serie;NF;Nat.Oper;Ocorr;Ocosigla;FL;FLN;FLB;FL NF-E;No CEV;Preco Liq;Preco Tabela;Mot.Troca;QTD/UND;Vd CX Liq;Vd UN Liq;Vlr Vd Liq;Cat Prod;Descr Cat;Licenca;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201610210001;0001;20161021016;00050241;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;000;21/10/2016;0003;||001;001;019;0000903061;20161501;0,00;179,4000;0,0000;89,7000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173584;000;001;V; ;S;N;S;000000;0,00;89,70;000;00024;179,4000;0,0000;179,4000;07;600ML RETORNAVEL;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201610210002;0001;20161021016;00050238;I2;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;000;21/10/2016;0004;||001;025;008;0000903048;20161504;0,00;299,2000;0,0000;37,4000;0,00;0,00;0,00;0,00;00008;00000;00000;00000;0,00;1;000173585;000;001;V; ;S;N;S;000000;0,00;37,40;000;00012;299,2000;0,0000;299,2000;68;1000ML RETORNAVEL;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
201610210002;0001;20161021016;00050238;I2;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;000;21/10/2016;0004;||002;025;008;0000903048;20161504;0,00;0,0000;0,0000;0,0000;0,00;0,00;0,00;0,00;00000;00003;00000;00000;0,00;1;000173586;000;002;B; ;S;N;N;000000;0,00;37,40;051;00012;0,0000;0,0000;0,0000;68;1000ML RETORNAVEL;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201610210002;0001;20161021016;00050238;I2;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;000;21/10/2016;0004;||003;025;008;0000903048;20161504;0,00;0,0000;0,0000;0,0000;0,00;0,00;0,00;0,00;00000;00003;00000;00000;0,00;1;000173586;000;004;B; ;S;N;N;000000;0,00;37,40;052;00012;0,0000;0,0000;0,0000;68;1000ML RETORNAVEL;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201610210003;0001;20161021016;00050012;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||001;040;032;0000902581;20161501;0,00;47,9800;0,0000;47,9800;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173587;001;001;V; ;S;N;S;000000;47,98;47,98;000;00012;47,9800;0,0000;47,9800;19;355ML LN2X06UN;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201610210003;0001;20161021016;00050012;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||002;210;007;0000902791;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173587;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201610210003;0001;20161021016;00050012;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||003;210;008;0000902800;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173587;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201610210003;0001;20161021016;00050012;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||004;210;009;0000902813;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173587;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201610210004;0001;20161021016;00050071;B1;000;203;0,00;0,00;0,00;1;06;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||001;200;026;0000902780;20161501;0,00;39,6000;0,0000;19,8000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173588;001;001;V; ;S;N;S;000000;19,80;19,80;000;00006;39,6000;0,0000;39,6000;09;2000ML PET;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201610210004;0001;20161021016;00050071;B1;000;203;0,00;0,00;0,00;1;06;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||002;310;001;0000900023;20161501;0,00;18,8000;0,0000;9,4000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173588;001;001;V; ;S;N;S;000000;9,40;9,40;000;00012;18,8000;0,0000;18,8000;06;500ML PET 12UN;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||001;001;012;0000902411;20161501;0,00;77,9000;0,0000;77,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;77,90;77,90;000;00024;77,9000;0,0000;77,9000;07;600ML RETORNAVEL;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||002;200;031;0000902809;20161501;0,00;19,8000;0,0000;19,8000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;19,80;19,80;000;00006;19,8000;0,0000;19,8000;09;2000ML PET;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||003;210;007;0000902791;20161501;0,00;25,8000;0,0000;12,9000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;25,8000;0,0000;25,8000;08;1000ML PET;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||004;210;008;0000902800;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
